Units,SqFt,Income,Expense,ValuePerSqFt,Boro
11,24985,619628,249850,107.54,Manhattan
10,33633,1048677,385098,147.47,Manhattan
31,88615,2347411,877289,120.0,Manhattan
20,20750,679978,238833,158.12,Manhattan
10,23287,582175,239856,107.01,Manhattan
10,10962,328093,122446,140.85,Manhattan
9,17788,472983,181793,118.11,Manhattan
8,12690,350879,119159,118.59,Manhattan
36,86451,2893515,1029631,160.13,Manhattan
46,83020,2868341,988768,167.67,Manhattan
25,94532,2793421,1089954,128.0,Manhattan
24,52735,1396950,522077,120.0,Manhattan
14,40581,1248272,392012,157.71,Manhattan
13,53468,1644676,516501,157.7,Manhattan
11,18315,541208,167949,152.77,Manhattan
10,24407,780292,247731,163.15,Manhattan
23,86900,2778193,882035,162.67,Manhattan
57,150010,4795820,1522602,162.67,Manhattan
33,119996,4323456,1429152,177.94,Manhattan
26,68033,2526065,829322,183.51,Manhattan
64,119640,3824891,1214346,162.66,Manhattan
2,4169,113105,44650,118.49,Manhattan
15,34587,1447120,434136,221.07,Manhattan
167,163160,4501584,1417860,136.23,Manhattan
61,60962,2131841,609620,184.75,Manhattan
23,46545,1627679,276012,214.87,Manhattan
27,70649,2955954,1283692,157.26,Manhattan
9,16028,397494,168294,104.13,Manhattan
50,122640,3920801,1410360,152.6,Manhattan
34,67451,2156408,684628,162.67,Manhattan
10,46250,1811613,462500,215.96,Manhattan
35,138798,4835722,1654472,168.97,Manhattan
24,66444,2043817,730884,147.69,Manhattan
66,155221,5592613,1848682,177.94,Manhattan
15,58213,2011259,533231,188.03,Manhattan
33,100894,2981418,925198,152.79,Manhattan
4,17185,677776,179411,219.55,Manhattan
65,163128,6156451,1869447,198.95,Manhattan
28,88897,2734472,1024982,143.72,Manhattan
16,37785,1116547,415635,129.84,Manhattan
6,16400,461004,163672,130.91,Manhattan
12,51647,1526169,473603,152.79,Manhattan
31,94924,3034720,963479,162.67,Manhattan
33,73257,1941311,585323,120.73,Manhattan
20,36435,1120741,351962,157.71,Manhattan
27,88496,2829217,898234,162.66,Manhattan
38,73919,2077863,737712,130.49,Manhattan
8,24059,665231,259837,121.62,Manhattan
11,25300,930028,310937,180.24,Manhattan
67,146294,5973184,2048116,202.66,Manhattan
10,30331,993947,349110,158.32,Manhattan
10,17632,497222,169267,134.19,Manhattan
16,44653,1259215,428669,127.61,Manhattan
18,45148,1413584,520556,147.65,Manhattan
12,28370,888265,230081,156.26,Manhattan
39,25786,794982,257860,155.67,Manhattan
25,26907,825776,174088,181.03,Manhattan
18,14777,401491,144371,125.53,Manhattan
80,85956,2335425,936920,117.41,Manhattan
13,19597,541857,211648,118.44,Manhattan
10,7576,249705,85078,161.69,Manhattan
26,27046,677232,305349,99.87,Manhattan
80,43850,1786449,573120,209.03,Manhattan
16,9744,375729,138365,184.32,Manhattan
12,5700,216543,71706,192.28,Manhattan
10,6656,242145,81869,177.58,Manhattan
74,47161,1582723,563574,160.47,Manhattan
32,25805,792472,297790,143.27,Manhattan
20,11358,227841,104494,77.65,Manhattan
28,19924,550899,215179,121.41,Manhattan
24,21645,570346,241342,109.96,Manhattan
30,21223,547978,227086,109.55,Manhattan
29,43723,1253976,546538,121.52,Manhattan
8,4227,115186,45229,119.47,Manhattan
10,7169,275003,91907,193.33,Manhattan
10,6791,147229,54328,99.13,Manhattan
35,23604,724879,266725,145.06,Manhattan
16,31406,1142550,402625,173.66,Manhattan
41,25795,750892,279618,137.12,Manhattan
4,7535,217234,56136,151.82,Manhattan
23,17899,499919,192951,112.3,Manhattan
8,8188,226398,84255,125.31,Manhattan
25,39027,1303502,491350,154.79,Manhattan
27,23344,959205,299270,213.5,Manhattan
53,56354,2294171,521275,237.64,Manhattan
41,39643,1528634,461841,193.96,Manhattan
6,44742,1588341,412969,399.38,Manhattan
48,61673,2344807,824568,186.58,Manhattan
38,32476,1175956,492661,155.16,Manhattan
31,47873,1609012,440432,180.39,Manhattan
2,2787,105627,43644,153.21,Manhattan
25,27798,792799,309114,115.55,Manhattan
23,34734,1202838,414029,168.14,Manhattan
5,7405,263988,60647,202.84,Manhattan
47,36472,1454868,319859,235.22,Manhattan
13,18990,518047,206991,118.17,Manhattan
30,20940,587576,264682,110.98,Manhattan
16,15704,541631,210120,156.33,Manhattan
78,65832,2518732,789984,198.73,Manhattan
83,78982,2138833,853006,117.51,Manhattan
12,11603,469341,149679,208.14,Manhattan
35,36046,1178344,429668,154.5,Manhattan
12,15957,507433,178718,153.6,Manhattan
12,11495,365541,128744,153.63,Manhattan
17,19333,782020,257129,183.26,Manhattan
21,20038,541026,214607,117.58,Manhattan
16,19854,534271,224350,112.77,Manhattan
1,1996,64870,23772,153.31,Manhattan
41,35664,1068493,410136,131.08,Manhattan
17,21314,570576,213140,121.23,Manhattan
12,14376,457876,155405,156.93,Manhattan
26,29906,989590,308331,169.33,Manhattan
24,15021,379731,162227,105.12,Manhattan
18,11033,268102,118053,82.25,Manhattan
18,19119,528449,172071,134.32,Manhattan
13,31205,1107778,288022,194.17,Manhattan
6,3800,112936,34500,154.74,Manhattan
10,11517,408854,106302,182.34,Manhattan
16,14130,506702,172386,174.59,Manhattan
17,18201,680717,254450,172.35,Manhattan
18,7994,307050,124866,172.5,Manhattan
9,5597,212798,74832,169.91,Manhattan
16,5130,187655,59867,183.63,Manhattan
12,8664,351152,89326,228.3,Manhattan
12,7042,310130,76406,249.93,Manhattan
8,7841,279532,64218,190.54,Manhattan
55,58364,2052662,594146,184.99,Manhattan
16,13319,500661,137985,200.17,Manhattan
10,12777,399792,195744,111.61,Manhattan
16,26783,941958,272651,183.59,Manhattan
63,56479,2416736,642731,236.92,Manhattan
32,23605,879758,218818,205.97,Manhattan
20,11229,402110,143619,170.01,Manhattan
10,10461,370424,108899,173.5,Manhattan
10,6166,311445,69368,294.36,Manhattan
13,15742,581509,128612,211.79,Manhattan
27,30363,931840,196449,181.04,Manhattan
13,20099,595332,197372,148.42,Manhattan
40,25528,864378,162869,203.93,Manhattan
96,93382,3733412,747990,241.63,Manhattan
11,14982,563173,155214,200.17,Manhattan
20,17225,611488,158987,194.19,Manhattan
28,17793,663145,164941,205.98,Manhattan
66,67764,2552670,704746,200.4,Manhattan
20,11574,435067,119907,200.19,Manhattan
35,62556,2390890,446650,235.2,Manhattan
36,46707,1928065,373189,251.38,Manhattan
14,24778,1002270,329547,205.14,Manhattan
34,36693,1393233,294645,226.64,Manhattan
36,24528,1088062,292864,244.09,Manhattan
14,14650,484183,123646,182.94,Manhattan
10,11995,477761,138782,200.17,Manhattan
12,13648,533180,141803,187.79,Manhattan
12,14269,483862,138409,179.62,Manhattan
28,30662,1398494,239164,284.39,Manhattan
16,12192,410383,117653,178.23,Manhattan
155,113930,4223378,1336399,186.82,Manhattan
28,21442,634469,228357,142.01,Manhattan
55,104637,2791715,1171934,100.18,Manhattan
7,50547,1558364,500415,156.49,Manhattan
13,78982,2107240,841158,110.44,Manhattan
18,27023,747186,278067,111.17,Manhattan
1,1158,50327,10156,261.66,Manhattan
13,35452,945859,327931,126.03,Manhattan
14,36407,971339,336765,126.02,Manhattan
41,117311,4833213,1503927,210.98,Manhattan
20,32149,864808,305094,125.82,Manhattan
14,55210,1485149,607310,114.91,Manhattan
10,22500,719325,228375,163.16,Manhattan
37,56714,1513130,606840,115.54,Manhattan
41,83916,3052864,1022936,178.31,Manhattan
52,73057,2998259,949741,211.77,Manhattan
9,35700,1248429,425187,170.9,Manhattan
10,20525,552123,194782,126.09,Manhattan
6,42091,1131406,463001,114.99,Manhattan
2,9196,325354,109524,173.88,Manhattan
4,12506,442462,113429,179.43,Manhattan
391,343599,15898326,2576993,317.2,Manhattan
44,39087,1205052,450673,144.22,Manhattan
10,11563,356487,107073,161.2,Manhattan
35,24582,815877,231808,158.86,Manhattan
15,28258,1141623,384309,202.49,Manhattan
25,12142,323949,112314,126.01,Manhattan
2,3518,100298,44432,119.39,Manhattan
14,18031,514244,170934,143.03,Manhattan
10,19827,533346,188158,125.99,Manhattan
19,34876,937467,419907,107.24,Manhattan
14,42823,1764308,383694,232.21,Manhattan
15,20752,557814,249854,107.22,Manhattan
29,36223,973674,436125,107.25,Manhattan
12,34968,1237168,317160,194.52,Manhattan
5,31369,1109835,284517,194.52,Manhattan
15,31967,944625,355473,138.17,Manhattan
35,34821,936685,355174,120.67,Manhattan
22,22511,611624,247621,116.7,Manhattan
26,17117,515735,154053,158.21,Manhattan
5,6635,162358,68341,103.24,Manhattan
29,97941,3182103,1166477,145.83,Manhattan
21,107781,3181695,1150023,134.53,Manhattan
9,15295,430554,168245,123.77,Manhattan
32,56800,2591784,966736,215.19,Manhattan
15,41314,1461689,454454,180.25,Manhattan
16,38591,1589949,463092,220.52,Manhattan
11,37403,1105259,342986,152.8,Manhattan
38,20826,551889,166400,133.87,Manhattan
27,13020,396199,133455,150.92,Manhattan
15,6013,155196,63978,109.93,Manhattan
38,33383,980793,371219,122.58,Manhattan
18,9514,362008,117878,178.05,Manhattan
4,6188,162744,56558,124.43,Manhattan
1,7157,178066,78727,101.02,Manhattan
11,31039,843330,325910,120.3,Manhattan
190,132000,3498000,1452000,112.11,Manhattan
11,6670,172553,66700,114.99,Manhattan
54,23688,612809,236880,114.95,Manhattan
144,85234,2635435,937574,148.83,Manhattan
32,35225,1114519,376908,156.22,Manhattan
12,15990,505924,171093,153.41,Manhattan
20,24630,742102,273886,142.35,Manhattan
10,14608,428453,163610,129.52,Manhattan
21,41990,1140868,440895,120.29,Manhattan
10,24910,916439,282978,187.68,Manhattan
10,18572,480643,198720,110.06,Manhattan
1,2527,55240,22162,96.16,Manhattan
26,85000,3461200,1089700,210.75,Manhattan
56,92500,3403075,1174750,177.41,Manhattan
273,290492,9220216,3250605,153.28,Manhattan
10,18064,498024,195091,117.53,Manhattan
18,15744,428394,181213,113.25,Manhattan
24,17842,485481,205361,113.27,Manhattan
40,22777,658483,261936,126.05,Manhattan
25,88353,3299985,1054051,186.94,Manhattan
39,116535,4944580,1514955,222.04,Manhattan
10,46022,1197953,438129,119.68,Manhattan
50,96566,2916293,1110509,127.58,Manhattan
390,445151,15188552,5212718,166.1,Manhattan
28,43106,1188432,465545,120.86,Manhattan
28,32116,1027712,306065,167.52,Manhattan
11,28385,816353,310248,133.91,Manhattan
65,83089,2156160,772728,120.58,Manhattan
41,56483,1665119,598720,141.56,Manhattan
70,90082,2630394,1001712,135.65,Manhattan
44,57042,1711260,657694,131.52,Manhattan
84,100500,4435065,1407000,226.89,Manhattan
145,136098,3670563,1467136,116.89,Manhattan
150,160209,4591590,1781524,131.14,Manhattan
213,140370,3785779,1513176,116.89,Manhattan
229,209785,5657901,2259384,116.96,Manhattan
102,136144,3901887,1513921,126.93,Manhattan
44,43542,1314968,447176,149.24,Manhattan
7,18493,498756,199170,116.96,Manhattan
89,81875,3104700,1049638,190.0,Manhattan
1,3475,131772,44552,189.93,Manhattan
27,66739,1799951,718779,116.96,Manhattan
12,28097,757776,302580,116.95,Manhattan
37,52493,1510224,583722,132.55,Manhattan
115,60860,1799630,678589,138.1,Manhattan
39,42384,1207096,471310,122.5,Manhattan
7,23079,560820,230790,104.03,Manhattan
20,36330,1718772,514796,248.97,Manhattan
23,13256,386280,149793,126.13,Manhattan
18,14398,419558,160106,135.23,Manhattan
119,94250,2537210,1036750,115.03,Manhattan
15,9380,246694,92768,118.76,Manhattan
17,34118,897303,337427,113.81,Manhattan
70,82017,2359629,926792,131.19,Manhattan
105,112050,4293756,1470096,190.69,Manhattan
30,34168,1024698,429492,130.47,Manhattan
77,201330,6784821,2256909,166.95,Manhattan
30,33170,1697641,469024,278.29,Manhattan
169,100633,2727154,1106963,116.19,Manhattan
30,19320,513139,212520,112.53,Manhattan
43,66282,2016961,764231,141.35,Manhattan
86,89510,2583259,1015939,119.57,Manhattan
45,21494,630419,247181,124.36,Manhattan
30,21738,587361,234118,117.31,Manhattan
18,44820,1314571,380970,156.25,Manhattan
10,5907,147439,60665,106.99,Manhattan
104,196695,8491323,2655383,223.57,Manhattan
22,65085,2809719,922254,218.51,Manhattan
64,94226,3799192,1224938,206.44,Manhattan
13,29579,1302955,384527,233.81,Manhattan
21,40000,1485200,400000,199.63,Manhattan
19,31608,1302250,283208,243.48,Manhattan
12,24850,922681,248500,199.64,Manhattan
12,31613,850390,347743,114.89,Manhattan
40,68865,2893707,882849,220.37,Manhattan
10,19533,488911,205097,105.82,Manhattan
14,31930,943532,355062,138.18,Manhattan
184,212232,7046102,2546784,157.54,Manhattan
6,26000,863200,286000,165.27,Manhattan
142,310000,13953100,4402000,231.85,Manhattan
83,88227,2803854,1041079,149.01,Manhattan
214,165160,6650000,2250000,188.56,Manhattan
19,58507,1683246,353382,127.66,Manhattan
113,120723,4467958,1041839,208.87,Manhattan
21,18780,802282,181978,249.15,Manhattan
30,19715,713880,299077,155.16,Manhattan
25,13997,529367,127373,217.4,Manhattan
122,92616,3600000,1240000,180.48,Manhattan
17,9720,362264,112363,189.09,Manhattan
241,209011,6002796,2142363,138.72,Manhattan
132,101634,4415997,1114925,244.69,Manhattan
10,8739,364242,113257,202.65,Manhattan
30,62138,2490000,685000,219.25,Manhattan
29,13177,426539,124918,170.37,Manhattan
22,41506,1713368,331633,251.39,Manhattan
40,22157,723648,251260,158.6,Manhattan
21,13648,526403,168826,198.2,Manhattan
60,32638,1299972,377622,213.62,Manhattan
15,27448,1031770,284361,200.16,Manhattan
128,138934,4922432,1424074,186.13,Manhattan
87,75154,2993384,869532,213.63,Manhattan
181,159268,4801930,1624534,149.4,Manhattan
21,30312,1207327,350710,213.61,Manhattan
49,32863,1184054,283279,202.2,Manhattan
47,123881,5460674,1521259,239.46,Manhattan
11,23425,1004230,244089,244.74,Manhattan
8,8129,360602,97060,228.81,Manhattan
20,53943,1560000,550000,130.92,Manhattan
77,73176,3399025,948361,251.75,Manhattan
9,22991,956426,208758,230.18,Manhattan
24,42407,1689071,490649,213.62,Manhattan
24,38871,2034508,573736,281.11,Manhattan
20,11852,486643,144831,217.77,Manhattan
32,48708,1940040,563552,213.62,Manhattan
81,60200,3150868,888552,281.1,Manhattan
23,88141,4320672,1284214,258.3,Manhattan
29,72225,3780257,1066041,281.09,Manhattan
20,48620,2360000,495000,288.01,Manhattan
24,21991,914826,199678,245.51,Manhattan
18,39213,1631261,356054,245.51,Manhattan
61,177550,10202023,2734270,313.22,Manhattan
27,20546,789583,183476,223.21,Manhattan
12,48890,2526635,679571,282.74,Manhattan
84,147335,6311831,1695826,236.31,Manhattan
12,11270,477848,126900,234.96,Manhattan
25,67671,2700073,607686,233.7,Manhattan
55,137343,5500000,1665000,210.71,Manhattan
12,28207,1123485,326355,213.63,Manhattan
30,72274,2878673,836210,213.62,Manhattan
6,23702,944051,274232,200.03,Manhattan
336,272102,11841879,3308760,236.23,Manhattan
22,49658,2219713,592420,246.65,Manhattan
11,24000,1094640,187200,284.38,Manhattan
16,60964,2203239,601105,193.84,Manhattan
18,49238,1658828,539156,168.53,Manhattan
181,173100,7784307,2246838,240.75,Manhattan
288,264402,7038381,2702188,81.13,Manhattan
42,49892,2383341,376685,302.07,Manhattan
20,22920,827979,262089,182.24,Manhattan
47,83950,3542690,1072881,222.0,Manhattan
10,26615,1123153,340140,208.53,Manhattan
22,50490,2549240,548826,297.25,Manhattan
71,54355,2293781,694657,222.0,Manhattan
54,113082,5337470,1251818,271.45,Manhattan
39,37431,1515207,490720,194.84,Manhattan
11,8408,282593,113340,149.5,Manhattan
713,616965,27720237,11234933,201.08,Manhattan
79,97500,4294875,1562925,210.99,Manhattan
52,96088,3950178,826357,245.5,Manhattan
52,110799,2998221,1078074,125.09,Manhattan
117,110995,4192281,1348589,193.95,Manhattan
22,37402,1489722,432741,213.62,Manhattan
218,196721,6143597,1375080,180.99,Manhattan
70,66668,2610052,672013,219.85,Manhattan
44,53937,2164492,537752,227.93,Manhattan
221,151785,4480693,941067,174.85,Manhattan
26,30908,1231066,357606,213.63,Manhattan
11,16083,687066,155844,249.14,Manhattan
77,36000,1433880,416520,213.61,Manhattan
14,32450,1398920,344619,243.67,Manhattan
17,15480,617652,139010,233.72,Manhattan
20,31962,1150952,316424,192.64,Manhattan
16,11685,353939,99089,163.29,Manhattan
36,34168,1302484,366281,207.36,Manhattan
22,16478,588429,192957,177.33,Manhattan
34,19979,713450,233954,177.34,Manhattan
16,19718,758946,166026,227.51,Manhattan
156,141673,5535164,2139262,179.36,Manhattan
11,62304,2446678,539553,231.48,Manhattan
31,68206,2610926,774138,203.79,Manhattan
32,83519,3239702,881125,123.01,Manhattan
37,63723,2689111,814380,222.01,Manhattan
31,52645,2482738,536453,227.75,Manhattan
69,51717,1990587,435457,209.7,Manhattan
109,99750,3839378,839895,153.28,Manhattan
14,23052,877359,208160,219.72,Manhattan
197,117094,4614675,900453,230.58,Manhattan
43,82151,3206354,789471,217.28,Manhattan
12,33378,1271368,322765,215.08,Manhattan
19,27784,1025230,296733,193.02,Manhattan
20,36967,1462045,433623,210.32,Manhattan
12,44800,1651328,579712,176.12,Manhattan
351,552679,24666064,5399674,262.4,Manhattan
52,66978,2471488,715325,193.03,Manhattan
24,52598,1870911,624338,175.16,Manhattan
29,26864,955552,318876,175.14,Manhattan
213,180281,8718389,2084048,259.36,Manhattan
62,97866,3452712,785864,201.51,Manhattan
14,31650,934625,351793,126.86,Manhattan
155,138320,4890995,1712402,169.9,Manhattan
35,61572,1930282,658205,154.21,Manhattan
9,19713,757571,176037,209.1,Manhattan
51,111514,4214114,846391,228.62,Manhattan
18,54708,2179020,632972,213.63,Manhattan
38,70840,3500000,775000,270.72,Manhattan
64,118000,4960000,1360000,215.77,Manhattan
26,45457,1898739,400476,248.78,Manhattan
67,120050,5800816,1559450,265.04,Manhattan
45,31800,1126992,332628,184.65,Manhattan
28,41294,1644740,477772,213.61,Manhattan
15,32085,1277946,371223,213.62,Manhattan
49,84890,4101885,1102721,243.61,Manhattan
52,77419,3500000,813000,244.95,Manhattan
22,58449,2267237,616637,213.64,Manhattan
6,17234,654375,183370,189.04,Manhattan
13,37035,1366592,395534,179.87,Manhattan
52,68395,2890373,802957,230.29,Manhattan
120,80000,3648800,624000,284.39,Manhattan
20,28124,938498,214024,191.37,Manhattan
33,66937,2795958,589715,248.79,Manhattan
99,112888,4266038,856820,228.62,Manhattan
20,23621,1121289,292900,263.45,Manhattan
33,75929,3472233,981003,246.77,Manhattan
10,27100,1254188,313547,244.98,Manhattan
203,334205,15674215,4391454,253.7,Manhattan
25,48276,1922833,558553,213.63,Manhattan
24,70181,3121651,1158688,210.56,Manhattan
8,28339,1128742,327882,200.15,Manhattan
93,94649,4364265,1160397,254.53,Manhattan
10,16720,714278,162017,233.13,Manhattan
10,14295,495322,173541,166.91,Manhattan
45,120453,5808244,1724887,254.33,Manhattan
365,341960,15405298,3843630,253.66,Manhattan
93,75799,3363960,760000,258.9,Manhattan
337,345294,9744197,2686387,147.59,Manhattan
89,97349,4123704,1120487,232.76,Manhattan
133,136255,5507427,1353012,230.38,Manhattan
47,66363,2771983,584658,248.8,Manhattan
51,64600,2503250,661504,215.68,Manhattan
15,28804,1284370,381941,235.84,Manhattan
17,38359,1498686,423867,211.92,Manhattan
21,69315,3090756,919117,235.84,Manhattan
10,23591,1065370,308806,226.65,Manhattan
21,35253,1612120,455469,234.02,Manhattan
7,26461,1207415,273342,194.55,Manhattan
57,62219,2903139,460421,295.07,Manhattan
5,11036,518361,114774,179.41,Manhattan
67,95000,4344350,1227400,232.74,Manhattan
18,37400,1450372,384098,215.67,Manhattan
13,24091,1060245,283310,242.87,Manhattan
11,28333,1322018,209664,294.36,Manhattan
17,41659,1905066,538234,246.77,Manhattan
11,32641,1455462,432820,235.84,Manhattan
11,58439,2637352,715293,247.47,Manhattan
4,9599,343260,105493,172.1,Manhattan
283,243948,9964000,2685000,211.34,Manhattan
299,211923,10248596,2449830,258.08,Manhattan
75,48861,612000,351000,31.97,Manhattan
153,158565,6623260,1396958,237.44,Manhattan
36,92152,4231620,1160194,250.66,Manhattan
17,46424,1947023,810099,179.37,Manhattan
2,3278,157147,41008,250.46,Manhattan
3,6202,260112,108225,173.65,Manhattan
14,36638,1536598,639333,184.84,Manhattan
1,1800,65178,17928,182.22,Manhattan
22,45692,2062080,559270,247.48,Manhattan
51,84733,3907039,1038827,254.53,Manhattan
2,2850,120954,38903,204.21,Manhattan
15,29631,1013880,278880,182.92,Manhattan
11,21375,896468,372994,184.84,Manhattan
109,191318,8727927,2343646,189.74,Manhattan
43,78900,3608097,1019388,246.77,Manhattan
124,138922,6269550,1700405,247.48,Manhattan
259,282900,12436284,2444256,265.98,Manhattan
43,60609,2735284,741854,247.47,Manhattan
423,380448,16724494,3287071,265.98,Manhattan
10,27065,1135106,472284,173.58,Manhattan
20,56554,2261029,644150,216.08,Manhattan
78,215976,6545690,1653840,171.13,Manhattan
119,123200,5219984,1464848,229.97,Manhattan
9,26794,985215,266600,185.6,Manhattan
190,301945,12702826,3070781,240.74,Manhattan
72,180112,8011382,2973649,210.55,Manhattan
31,61182,2400782,548191,228.97,Manhattan
22,42940,1909971,708939,210.55,Manhattan
139,238818,10047073,2428779,240.74,Manhattan
142,161752,7303103,2021900,245.67,Manhattan
40,40299,1522496,358661,218.62,Manhattan
18,32085,1212171,285557,218.61,Manhattan
250,392410,17615285,4371447,253.99,Manhattan
169,182166,6038803,1876310,169.81,Manhattan
40,86314,3735670,1116903,228.61,Manhattan
182,92176,807000,390000,24.74,Manhattan
67,72464,2877545,1165946,178.56,Manhattan
101,87697,3121136,971683,181.12,Manhattan
17,30371,1401622,374171,254.35,Manhattan
113,88230,3503613,1419621,178.56,Manhattan
224,212756,8376204,2584985,205.82,Manhattan
172,162488,7336333,2031100,243.03,Manhattan
174,134519,5513934,1536207,223.34,Manhattan
645,575077,25665687,5618502,262.4,Manhattan
53,40279,1777512,460792,223.44,Manhattan
24,30260,1284234,413049,179.21,Manhattan
23,8053,341769,109923,189.87,Manhattan
51,61406,2606071,838192,217.13,Manhattan
95,87310,4408282,1203132,243.16,Manhattan
11,36270,1242973,464981,153.73,Manhattan
40,22300,834689,271391,153.9,Manhattan
25,53181,2072464,684439,197.42,Manhattan
29,25354,1124450,316164,179.72,Manhattan
12,23122,1025461,288331,240.03,Manhattan
52,65112,2600573,904406,196.91,Manhattan
53,55715,1948354,598379,179.29,Manhattan
71,77154,2863956,793143,197.5,Manhattan
15,14000,530040,142940,209.29,Manhattan
79,71011,3278578,858523,256.24,Manhattan
330,270870,10758956,2987696,216.89,Manhattan
28,38960,1589568,463624,218.3,Manhattan
78,45116,1622823,485448,186.01,Manhattan
101,136474,6325570,1535333,263.87,Manhattan
109,158571,5581699,1807709,176.02,Manhattan
176,128571,4525699,1465709,176.02,Manhattan
43,51562,2246041,765696,216.26,Manhattan
8,10036,290643,105779,138.1,Manhattan
8,8700,251952,91698,138.05,Manhattan
32,51136,2178394,554314,239.6,Manhattan
127,174042,7280177,2225997,219.21,Manhattan
13,30116,1148925,322844,158.89,Manhattan
64,81685,3069722,1052103,153.52,Manhattan
329,321079,11260241,3156207,186.71,Manhattan
